State,ISO,1.  Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure?,"2. Does sovereignty encompass the right to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",2(a) Does sovereignty encompass the right of a state to control government data and/or that of its nationals stored or transmitted inside their territory?,2(b) Does sovereignty encompass the right of a State to control government data stored or transmitted outside its territory?,2(c) Does sovereignty encompass the right of a State to control data of its nationals stored or transmitted inside its territory?,2(d) Does sovereignty encompass the right of a State to control government data stored or transmitted outside its territory?,2(e) Does sovereignty encompass the right of a State to control data of its nationals stored or transmitted outside its territory?,2(f) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State,",6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,6(a) Do any physical effects constitute a violation?,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,7 Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?,9(a) Must the state cyber operation generate prohibited effects directly?,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,10(a) Do state sponsored ransomware operations violate the sovereignty of another State?,10(b) Can state cyber operations against data residing in cloud servers outside of a State’s territorial jurisdiction constitute a violation of sovereignty as a rule?,10(c) Does the exercise of one State’s law enforcement tools via cyber means in the networks or systems of another State’s territory violate the sovereignty of the latter State? ,11. Do State cyber operations that interfere at any level with critical infrastructure in another State constitute a violation of sovereignty as a rule? ,12. Can State cyber operations that cause significant national economic impacts for another State constitute a violation of sovereignty as a rule? ,13. Does cyber espionage by one State in or transiting networks or hardware resident in another State constitute a violation of sovereignty as a rule? ,14. Are violations of sovereignty assessed on a case-by-case basis? 
Iran,IRN,Silent,Yes,Yes,Yes,Ambiguous,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Yes,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,Yes,Silent,Silent
Ireland,IRL,Yes,Yes,Yes,Yes,Yes,Ambiguous,Ambiguous,Yes,Yes,Yes,Yes,Silent,Yes,Ambiguous,No,Silent,No,Yes,Yes,Silent,Yes,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Ambiguous
Israel,ISR,Yes,Ambiguous,Yes,Yes,Yes,Ambiguous,Ambiguous,Ambiguous,Silent,Ambiguous,Silent,Silent,Yes,Ambiguous,Silent,Silent,Silent,Silent,No,Silent,Silent,Silent,Ambiguous,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent
Italy,ITA,Yes,Yes,Yes,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Yes,Yes,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Yes
Japan,JPN,Yes,Yes,Ambiguous,Silent,Silent,Silent,Silent,Yes,Yes,Yes,Yes,Silent,Yes,Silent,No,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Kazakhstan,KAZ,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Kenya,KEN,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Korea,KOR,Yes,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Yes,Silent,No,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Netherlands,NLD,Yes,Yes,Yes,Yes,Ambiguous,Ambiguous,Ambiguous,Yes,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent
New Zealand,NZL,Yes,Yes,Ambiguous,Silent,Silent,Silent,Silent,Yes,Yes,Yes,Yes,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes
Norway ,NOR,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Yes,Yes,Yes,Yes,Ambiguous,Yes,Ambiguous,No,No,Ambiguous,Yes,Ambiguous,Ambiguous,Ambiguous,Yes,Ambiguous,Ambiguous,Ambiguous,Yes,Silent,Ambiguous,Silent,Yes,Yes,Silent,Yes
Pakistan,PAK,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Peru,PER,Yes,Ambiguous,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Poland,POL,Yes,Yes,Yes,Yes,Silent,Yes,Silent,Yes,Yes,Yes,Yes,Silent,Yes,Silent,No,No,Silent,Yes,Ambiguous,Ambiguous,Ambiguous,Ambiguous,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Ambiguous,Yes,Silent,Silent
Romania ,ROU,Yes,Yes,Yes,Silent,Silent,Ambiguous,Silent,Yes,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Yes,Silent,No,Silent,Yes,Silent,Silent,Silent,Silent,Ambiguous,Silent,Silent
Russia Federation,RUS,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Singapore,SGP,Yes,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Yes,Ambiguous,No,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Sweden,SWE,Yes,Yes,Yes,Yes,Ambiguous,Silent,Silent,Yes,Yes,Yes,Ambiguous,Silent,Yes,Ambiguous,No,No,Silent,Yes,Ambiguous,Ambiguous,Ambiguous,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Yes
Switzerland,CHE,Yes,Yes,Yes,Ambiguous,Ambiguous,Ambiguous,Ambiguous,Yes,Yes,Yes,Yes,Silent,Ambiguous,Ambiguous,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Ambiguous,Silent,Ambiguous,Silent,Silent,Yes
Thailand,THA,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Silent,Silent,No,Yes,Yes,Yes,Yes,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Silent
United Kingdom ,GBR,Yes,Yes,Yes,Silent,Silent,Silent,Silent,Yes,No,No,No,Silent,No,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,No,No,No
United States ,USA,Yes,Yes,Yes,Ambiguous,Silent,Silent,Silent,Yes,Ambiguous,Ambiguous,Silent,Yes,Ambiguous,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not discussed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambiguous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
